company_id,company_name,a_code,h_code,a_exchange,a_ticker,h_ticker,industry,status,source,updated_at
AH_600036_03968,招商银行,600036,03968,SH,600036.SS,03968.HK,银行,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601336_01336,新华保险,601336,01336,SH,601336.SS,01336.HK,保险,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_000756_00719,新华制药,000756,00719,SZ,000756.SZ,00719.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601811_00811,新华文轩,601811,00811,SH,601811.SS,00811.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600956_00956,新天绿能,600956,00956,SH,600956.SS,00956.HK,能源电力,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688187_03898,时代电气,688187,03898,SH,688187.SS,03898.HK,汽车与装备,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688366_06826,昊海生科,688366,06826,SH,688366.SS,06826.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_300568_06067,星源材质,300568,06067,SZ,300568.SZ,06067.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688236_01858,春立医疗,688236,01858,SH,688236.SS,01858.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_603127_06127,昭衍新药,603127,06127,SH,603127.SS,06127.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688337_00537,普源精电,688337,00537,SH,688337.SS,00537.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688249_02249,晶合集成,688249,02249,SH,688249.SS,02249.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002594_01211,比亚迪,002594,01211,SZ,002594.SZ,01211.HK,汽车与装备,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600016_01988,民生银行,600016,01988,SH,600016.SS,01988.HK,银行,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600362_00358,江西铜业,600362,00358,SH,600362.SS,00358.HK,有色与材料,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
